,loss_opt_rot,loss_rand_rot,loss_single_rot,loss_single_rot_noopt,rotation
0,587.4968323059082,607.0600704040527,589.8152387695312,590.0133006896973,0.0
1,598.3464403381348,616.1213894958496,607.7435801086426,630.8623457946777,20.0
2,589.1625569152832,607.4997831726074,612.9622097167969,676.8399147949219,40.0
3,598.7123043518067,609.1259757080078,614.5155785217286,701.625418914795,60.0
4,599.8009145202636,605.8705162963868,607.7164486389161,712.2309989318848,80.0
5,599.2171879882812,612.4879847717285,607.521906463623,732.6962201538086,100.0
6,599.4532690429687,608.2413231201172,615.5571181945801,726.2090669250488,120.0
7,592.9771104431152,609.7983551940918,613.3089760742188,702.2282951660156,140.0
8,596.6513386230469,614.2131101074219,612.5441856079102,691.0923399353028,160.0
9,587.8490472106934,602.6094177246093,588.126493560791,670.1773830566407,180.0
